SupplierID,SupplierName,SupplierRegion,ComponentType,Month,Deliveries,UnitsReceived,DefectiveUnits,DefectRate,SupplierRating
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2023-04,16,11008,72,0.658,A
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2025-03,5,8995,179,1.993,B
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2025-10,17,49946,1302,2.609,B
SUP-0104,Bryant Inc Group,Poland,Metal Components,2023-11,24,81696,6288,7.698,D
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2025-03,10,44920,1924,4.285,C
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2024-07,17,32504,2061,6.342,D
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2023-04,6,1344,100,7.442,D
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2025-03,13,44148,639,1.449,A
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2025-12,3,10899,78,0.724,A
SUP-0119,Andrews-Mcdaniel Pvt Ltd,China,Metal Components,2023-04,16,11056,583,5.282,D
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2025-05,12,31392,305,0.972,A
SUP-0050,Oconnor-Anderson Components,Poland,Plastic Components,2025-11,12,20028,559,2.794,B
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2023-08,18,84816,4842,5.71,D
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2025-02,8,21472,363,1.692,B
SUP-0013,Sanchez-Moore Components,China,Switchgear Parts,2024-08,3,2661,125,4.73,C
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2025-10,13,34658,451,1.303,A
SUP-0075,White Inc Corp,India,Connectors,2023-06,24,53640,268,0.5,A
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2023-02,23,109112,1085,0.995,A
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2023-04,16,28320,358,1.267,A
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2024-03,7,11305,342,3.033,C
SUP-0053,Collins Group GmbH,Poland,Plastic Components,2024-03,11,52118,1053,2.022,B
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2024-12,9,2142,69,3.237,C
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2023-12,22,15862,928,5.853,D
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2024-08,10,32010,1669,5.216,D
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2023-01,11,17094,1367,8.0,D
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2023-08,19,24852,950,3.826,C
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2025-03,3,2757,34,1.25,A
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2024-09,17,8041,210,2.619,B
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2025-06,10,7040,328,4.67,C
SUP-0040,"Griffith, Anthony and Cordova Components",USA,Connectors,2024-03,13,5070,214,4.225,C
SUP-0077,Vasquez-Rodriguez Pvt Ltd,India,Transformers,2025-01,17,75259,3084,4.099,C
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2025-09,21,34377,1822,5.301,D
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-10,3,12450,780,6.267,D
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2025-03,22,6138,294,4.796,C
SUP-0064,"Ballard, Kelly and Schwartz Group",India,Connectors,2025-04,25,88800,3405,3.835,C
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2023-01,18,37044,1927,5.203,D
SUP-0031,Miller and Sons Corp,China,Connectors,2025-07,20,25460,1916,7.526,D
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2025-02,9,21303,1419,6.663,D
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2025-05,21,67263,803,1.194,A
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2024-12,8,33344,271,0.815,A
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2023-06,22,30184,261,0.865,A
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2025-10,25,27650,1542,5.579,D
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2024-08,15,59535,2548,4.28,C
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2025-06,13,58500,829,1.418,A
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2024-01,7,27664,1765,6.382,D
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2024-09,3,12315,344,2.795,B
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2025-03,18,55530,330,0.595,A
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-02,25,94750,2888,3.048,C
SUP-0044,Jones-Quinn Pvt Ltd,Mexico,Switchgear Parts,2025-05,4,14424,91,0.634,A
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2025-12,11,50721,3683,7.262,D
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2023-04,7,15225,180,1.188,A
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2023-08,10,42220,265,0.629,A
SUP-0108,Chavez and Sons Industries,Mexico,Metal Components,2024-09,12,53040,1514,2.856,B
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2025-05,6,9756,141,1.453,A
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2023-11,3,11409,475,4.169,C
SUP-0077,Vasquez-Rodriguez Pvt Ltd,India,Transformers,2025-02,14,29946,811,2.709,B
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2024-10,4,16792,449,2.677,B
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2023-06,2,8290,271,3.277,C
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2023-12,6,29310,1486,5.07,D
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2024-06,9,12213,818,6.7,D
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-05,9,10089,138,1.372,A
SUP-0057,Ward-Rodriguez Industries,Germany,Plastic Components,2025-02,11,16467,137,0.833,A
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2023-01,11,26752,1834,6.858,D
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2025-03,21,78498,461,0.589,A
SUP-0061,Cox Ltd Corp,USA,Metal Components,2024-05,4,13976,679,4.865,C
SUP-0094,"Berry, Barr and Alexander Pvt Ltd",Poland,Transformers,2023-03,24,16032,469,2.928,B
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2024-07,12,52848,3008,5.693,D
SUP-0098,Beck Inc Manufacturing,Poland,Switchgear Parts,2024-02,7,30009,692,2.308,B
SUP-0062,Burke-Owens Components,India,Metal Components,2023-04,23,98049,2364,2.412,B
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2023-05,13,28054,958,3.415,C
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2023-07,16,64464,393,0.61,A
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-04,20,14280,213,1.494,A
SUP-0083,Burch-Harris Components,USA,Transformers,2025-08,12,29940,1133,3.786,C
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2023-12,2,8536,342,4.014,C
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-08,21,38388,850,2.217,B
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2024-06,4,5936,72,1.219,A
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2024-05,13,21970,472,2.15,B
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2024-02,15,48600,3046,6.269,D
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2023-04,6,19980,369,1.847,B
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-02,15,51930,2526,4.865,C
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-08,10,19460,520,2.676,B
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2024-06,16,32608,843,2.585,B
SUP-0115,Dixon-Collins Corp,USA,Connectors,2023-01,25,19025,1325,6.968,D
SUP-0077,Vasquez-Rodriguez Pvt Ltd,India,Transformers,2025-01,5,7985,321,4.03,C
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2024-05,15,48600,496,1.021,A
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2024-04,13,14872,230,1.55,B
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-02,21,88851,970,1.092,A
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-11,24,104496,2272,2.175,B
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2024-12,21,42126,1078,2.56,B
SUP-0077,Vasquez-Rodriguez Pvt Ltd,India,Transformers,2023-10,6,11748,413,3.523,C
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2023-06,8,32152,1996,6.209,D
SUP-0090,Williams Ltd GmbH,China,Connectors,2024-04,7,16086,196,1.221,A
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-11,16,36336,473,1.303,A
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2024-07,11,18931,1072,5.663,D
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-02,11,50633,2091,4.13,C
SUP-0064,"Ballard, Kelly and Schwartz Group",India,Connectors,2025-07,3,7095,519,7.324,D
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2025-03,9,13626,636,4.669,C
SUP-0066,Lopez and Sons Corp,China,Connectors,2023-08,20,45340,1659,3.661,C
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2024-04,15,23715,172,0.725,A
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2025-03,22,90662,924,1.019,A
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2024-02,10,13070,565,4.324,C
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2025-09,20,50000,1520,3.041,C
SUP-0080,"Hurley, Wood and Vasquez Components",Poland,Connectors,2023-08,16,57504,865,1.505,B
SUP-0015,Chan LLC Manufacturing,India,Connectors,2023-03,22,23386,1275,5.454,D
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2025-06,23,54970,3483,6.337,D
SUP-0098,Beck Inc Manufacturing,Poland,Switchgear Parts,2023-07,15,48315,1079,2.234,B
SUP-0039,Adams Inc Components,Germany,Metal Components,2024-01,23,99337,1166,1.174,A
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-08,18,80370,2172,2.703,B
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2025-10,18,26352,1674,6.354,D
SUP-0067,Woods-Liu Group,China,Transformers,2023-03,5,6565,340,5.188,D
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-06,16,71616,929,1.297,A
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2025-01,19,24833,1107,4.46,C
SUP-0147,Murray Inc Manufacturing,Poland,Plastic Components,2024-05,18,24966,124,0.5,A
SUP-0127,Higgins-Lambert Corp,USA,Metal Components,2025-01,15,19620,1149,5.857,D
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2023-03,3,6906,264,3.827,C
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2024-03,20,39240,220,0.562,A
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2025-02,22,14212,879,6.189,D
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2023-09,25,33050,1106,3.348,C
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2023-12,9,6201,69,1.121,A
SUP-0088,Sanchez and Sons GmbH,Germany,Metal Components,2024-05,13,13312,184,1.388,A
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2023-04,18,69660,636,0.914,A
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2023-06,15,49065,698,1.423,A
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2023-05,14,34958,259,0.744,A
SUP-0080,"Hurley, Wood and Vasquez Components",Poland,Connectors,2025-05,13,12519,238,1.905,B
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2025-03,25,46675,622,1.333,A
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2025-11,17,57018,2787,4.89,C
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2023-06,13,13442,420,3.128,C
SUP-0142,Campbell and Sons Industries,USA,Transformers,2024-09,13,22503,1188,5.281,D
SUP-0083,Burch-Harris Components,USA,Transformers,2024-06,4,12112,310,2.562,B
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2025-04,13,14599,225,1.543,B
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2023-04,13,10296,319,3.104,C
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2024-09,22,99220,5303,5.345,D
SUP-0034,Owen-Middleton Group,China,Plastic Components,2025-03,5,18665,192,1.034,A
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2023-12,21,54411,2411,4.432,C
SUP-0127,Higgins-Lambert Corp,USA,Metal Components,2024-11,15,47370,2016,4.256,C
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-10,10,28480,1122,3.943,C
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-01,14,63658,1750,2.75,B
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2025-02,7,4564,85,1.876,B
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2023-02,21,58023,4641,8.0,D
SUP-0009,Terry LLC Industries,Poland,Circuit Breakers,2023-04,10,37600,1241,3.302,C
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2025-01,15,13350,717,5.378,D
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2025-12,6,18744,654,3.494,C
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2023-05,10,46590,1382,2.968,B
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2025-06,24,93504,6397,6.842,D
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-06,8,34152,393,1.153,A
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2025-10,13,22841,376,1.651,B
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2024-07,24,14304,280,1.96,B
SUP-0108,Chavez and Sons Industries,Mexico,Metal Components,2024-01,10,6630,221,3.343,C
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2025-07,21,8316,564,6.783,D
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2025-09,3,10752,340,3.166,C
SUP-0004,Hernandez Group Pvt Ltd,Mexico,Transformers,2023-04,12,45756,958,2.095,B
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2023-11,13,26468,322,1.218,A
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2025-06,9,5976,289,4.843,C
SUP-0083,Burch-Harris Components,USA,Transformers,2024-07,14,30114,884,2.937,B
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2023-01,2,3372,80,2.385,B
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2024-12,19,44422,529,1.193,A
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-04,2,2724,71,2.636,B
SUP-0108,Chavez and Sons Industries,Mexico,Metal Components,2024-08,3,10692,497,4.657,C
SUP-0094,"Berry, Barr and Alexander Pvt Ltd",Poland,Transformers,2024-10,24,80328,2367,2.947,B
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-04,24,67608,2972,4.397,C
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2025-05,25,91025,1842,2.024,B
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2025-07,5,7155,87,1.22,A
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2025-12,9,43650,556,1.276,A
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-10,5,12630,223,1.77,B
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2025-10,13,51584,1985,3.849,C
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2023-06,10,3880,121,3.14,C
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2024-03,17,27778,1201,4.327,C
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-09,11,9680,123,1.277,A
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2024-01,9,5913,321,5.431,D
SUP-0009,Terry LLC Industries,Poland,Circuit Breakers,2025-10,5,4535,118,2.61,B
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2024-11,2,3036,19,0.627,A
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2025-03,10,40810,2747,6.732,D
SUP-0105,Hardy-Hobbs Corp,Germany,Plastic Components,2025-06,5,5460,380,6.972,D
SUP-0085,"Nguyen, Gross and Ramirez Components",India,Plastic Components,2025-01,5,19215,529,2.754,B
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2025-06,9,24939,1013,4.066,C
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2025-09,2,2582,103,4.007,C
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2025-04,13,49413,1595,3.229,C
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2024-07,15,43260,283,0.655,A
SUP-0056,"Cooper, Greer and Martin Corp",Poland,Connectors,2024-06,25,85300,2427,2.845,B
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2024-07,14,10528,348,3.31,C
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-08,7,11284,194,1.727,B
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2024-05,12,22356,574,2.568,B
SUP-0143,Morris Ltd Group,Mexico,Connectors,2023-12,24,74616,509,0.682,A
SUP-0063,Brown-Hernandez Group,India,Circuit Breakers,2024-11,18,15192,811,5.343,D
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2025-03,4,11576,169,1.465,A
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2024-07,10,30370,1302,4.29,C
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2025-11,21,84504,5900,6.983,D
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2024-10,5,23765,628,2.645,B
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-06,10,18190,453,2.496,B
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-06,22,92994,3560,3.828,C
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2024-09,4,2032,70,3.464,C
SUP-0062,Burke-Owens Components,India,Metal Components,2024-07,13,39819,1264,3.175,C
SUP-0063,Brown-Hernandez Group,India,Circuit Breakers,2025-09,8,20832,1152,5.531,D
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2023-11,11,52030,1508,2.899,B
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2024-03,8,12824,392,3.063,C
SUP-0108,Chavez and Sons Industries,Mexico,Metal Components,2024-02,24,57552,1913,3.325,C
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2023-06,6,11358,367,3.233,C
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2023-06,7,27867,303,1.089,A
SUP-0072,"Moore, Gates and Sawyer Corp",Mexico,Connectors,2024-09,22,86218,3013,3.495,C
SUP-0057,Ward-Rodriguez Industries,Germany,Plastic Components,2023-12,23,71852,887,1.235,A
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2024-07,4,10844,395,3.648,C
SUP-0044,Jones-Quinn Pvt Ltd,Mexico,Switchgear Parts,2024-04,6,14586,123,0.847,A
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2025-05,13,58877,430,0.731,A
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2025-12,20,78080,737,0.944,A
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2025-10,13,43043,814,1.891,B
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2024-07,4,9284,262,2.829,B
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2023-01,12,57360,2530,4.412,C
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2025-07,20,13740,343,2.496,B
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-09,9,19467,232,1.196,A
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2025-07,2,3930,115,2.928,B
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2023-11,6,16512,487,2.954,B
SUP-0086,"Jones, Hodge and Ortiz Components",India,Transformers,2023-04,4,14908,693,4.652,C
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2023-05,16,19040,1343,7.058,D
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-06,10,2150,62,2.891,B
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-05,16,20128,778,3.867,C
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2023-11,20,49920,2748,5.507,D
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2023-03,10,40870,299,0.734,A
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2023-09,8,25616,221,0.863,A
SUP-0073,Adams PLC Industries,India,Switchgear Parts,2025-04,18,84222,1785,2.119,B
SUP-0085,"Nguyen, Gross and Ramirez Components",India,Plastic Components,2025-06,18,5274,183,3.479,C
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-02,16,26976,864,3.206,C
SUP-0031,Miller and Sons Corp,China,Connectors,2023-10,9,26784,1484,5.543,D
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2023-02,12,21876,1153,5.273,D
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2025-02,14,65100,2048,3.147,C
SUP-0061,Cox Ltd Corp,USA,Metal Components,2023-01,24,46680,3090,6.621,D
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2025-11,23,37444,2483,6.632,D
SUP-0100,"Leon, Warren and Juarez Group",Poland,Plastic Components,2024-02,21,78981,3137,3.973,C
SUP-0092,"Jackson, Hayes and Hines Components",Poland,Transformers,2023-07,5,21810,1500,6.882,D
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-08,9,22815,1152,5.053,D
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2023-03,9,5301,298,5.637,D
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2023-08,17,40392,712,1.765,B
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-02,25,54225,568,1.048,A
SUP-0094,"Berry, Barr and Alexander Pvt Ltd",Poland,Transformers,2023-05,18,10872,526,4.844,C
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2024-01,2,808,30,3.728,C
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2025-04,16,25888,908,3.509,C
SUP-0057,Ward-Rodriguez Industries,Germany,Plastic Components,2024-03,9,7479,90,1.204,A
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2024-03,3,4374,231,5.299,D
SUP-0119,Andrews-Mcdaniel Pvt Ltd,China,Metal Components,2025-11,19,32015,1006,3.144,C
SUP-0085,"Nguyen, Gross and Ramirez Components",India,Plastic Components,2025-12,14,30086,962,3.199,C
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-10,8,21432,593,2.767,B
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-10,22,66462,3408,5.128,D
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2023-02,24,7632,610,8.0,D
SUP-0116,Chen-Mills Corp,China,Metal Components,2024-01,3,3522,186,5.303,D
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2024-12,3,2817,44,1.573,B
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-07,17,21522,870,4.046,C
SUP-0051,Phelps-Martin Pvt Ltd,Mexico,Connectors,2025-05,13,33852,762,2.254,B
SUP-0119,Andrews-Mcdaniel Pvt Ltd,China,Metal Components,2023-12,21,53928,2198,4.076,C
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2025-04,20,53080,1086,2.046,B
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2023-08,2,4164,264,6.362,D
SUP-0115,Dixon-Collins Corp,USA,Connectors,2025-10,9,12780,880,6.891,D
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2023-07,23,42596,381,0.896,A
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2024-04,4,6228,72,1.163,A
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2023-05,3,11328,797,7.038,D
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2025-06,21,84693,670,0.792,A
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2023-02,22,25036,1478,5.907,D
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2024-09,20,57900,2402,4.15,C
SUP-0056,"Cooper, Greer and Martin Corp",Poland,Connectors,2024-06,9,16623,540,3.254,C
SUP-0104,Bryant Inc Group,Poland,Metal Components,2024-04,21,24003,1675,6.979,D
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2025-07,3,12792,108,0.849,A
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2023-06,19,56050,921,1.644,B
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2023-01,23,85767,1207,1.408,A
SUP-0146,"Anthony, Martin and Osborne GmbH",India,Plastic Components,2025-08,19,77311,3782,4.893,C
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2024-04,19,87286,2372,2.718,B
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2025-06,21,70581,1047,1.484,A
SUP-0105,Hardy-Hobbs Corp,Germany,Plastic Components,2025-02,4,13420,594,4.432,C
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2025-09,16,27216,331,1.217,A
SUP-0061,Cox Ltd Corp,USA,Metal Components,2023-03,18,14382,699,4.86,C
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2025-11,19,48127,2369,4.923,C
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2023-07,7,27986,669,2.391,B
SUP-0080,"Hurley, Wood and Vasquez Components",Poland,Connectors,2023-04,7,26173,353,1.352,A
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2025-05,10,9130,280,3.072,C
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2023-01,17,26605,2128,8.0,D
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-05,11,44440,1102,2.482,B
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2025-06,4,13288,90,0.681,A
