supplierid,suppliername,supplierregion,componenttype,month,deliveries,unitsreceived,defectiveunits,defectrate,supplierrating,risk_score,risk_category
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2024-08,8,23232,1583,6.816,D,4.722799999999999,Low
SUP-0115,Dixon-Collins Corp,USA,Connectors,2024-05,17,28781,1128,3.923,C,2.805,Low
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2025-10,16,48368,1760,3.639,C,2.8874,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2024-02,9,40356,2641,6.545,D,4.9834,Low
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2025-06,24,83136,3832,4.61,C,4.2988,Low
SUP-0090,Williams Ltd GmbH,China,Connectors,2023-10,6,19830,236,1.194,A,0.8108,Low
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2025-09,8,15400,291,1.895,B,1.2534,Low
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2023-11,9,8667,191,2.208,B,1.4012,Low
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2024-07,10,22590,1071,4.745,C,3.2754,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2024-12,7,16758,1259,7.517,D,5.0138,Medium
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2023-04,22,100430,7198,7.167,D,7.179399999999999,Medium
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2024-03,8,15240,484,3.179,C,2.101,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2024-06,4,8180,108,1.321,A,0.8358,Low
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2025-04,21,22995,953,4.146,C,2.8688000000000002,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2024-05,15,71100,2020,2.841,B,2.5126,Low
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2023-05,16,78352,744,0.951,A,0.8682000000000001,Low
SUP-0109,Frye-Le GmbH,Poland,Plastic Components,2023-10,18,84654,2434,2.876,B,2.6992,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-01,23,9637,209,2.176,B,1.3892000000000002,Low
SUP-0137,Wells PLC Corp,Mexico,Switchgear Parts,2024-10,11,4664,170,3.662,C,2.2652,Low
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2025-09,7,7455,228,3.07,C,1.9331999999999998,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2025-08,18,36216,517,1.43,A,1.0648,Low
SUP-0126,Powell-Morris Group,Germany,Connectors,2023-11,7,13671,1062,7.77,D,5.0868,Medium
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2025-04,15,65580,3741,5.705,D,4.9194,Low
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2025-09,7,19173,1120,5.842,D,3.9532,Low
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2025-05,16,50848,509,1.002,A,0.8048,Low
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2024-12,4,19980,1284,6.43,D,4.3716,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2025-09,5,10805,176,1.637,B,1.0526,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2025-09,6,24648,308,1.25,A,0.8732,Low
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2025-07,20,28420,2097,7.381,D,5.2674,Medium
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2025-04,23,110630,919,0.831,A,0.8662,Low
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2024-09,21,58338,2170,3.72,C,3.1,Low
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2025-07,16,40224,1516,3.771,C,2.8689999999999998,Low
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2024-12,13,42861,363,0.849,A,0.6546,Low
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2024-03,14,27062,168,0.622,A,0.4404,Low
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2025-11,7,3507,138,3.937,C,2.4173999999999998,Low
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2025-07,24,16848,804,4.777,C,3.1878,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2023-08,9,33777,1252,3.708,C,2.7256,Low
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2025-11,13,25376,1379,5.438,D,3.8144,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2024-07,6,29790,1524,5.118,D,3.6804,Low
SUP-0057,Ward-Rodriguez Industries,Germany,Plastic Components,2023-09,21,62097,643,1.037,A,0.8794,Low
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2024-10,7,12292,120,0.981,A,0.6366,Low
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2024-06,24,25464,1424,5.593,D,3.9254,Low
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2024-06,7,9954,49,0.5,A,0.3196,Low
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2024-10,6,7116,389,5.477,D,3.4418,Low
SUP-0147,Murray Inc Manufacturing,Poland,Plastic Components,2025-03,5,19555,97,0.5,A,0.3388,Low
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2024-01,13,43602,687,1.576,B,1.2204000000000002,Low
SUP-0056,"Cooper, Greer and Martin Corp",Poland,Connectors,2025-07,19,9861,225,2.284,B,1.4604,Low
SUP-0039,Adams Inc Components,Germany,Metal Components,2023-10,3,1416,18,1.28,A,0.7752,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2025-07,25,15850,827,5.222,D,3.464,Low
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-04,22,52536,1321,2.516,B,2.0380000000000003,Low
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2025-06,7,30324,1242,4.097,C,2.955,Low
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2024-04,8,6832,149,2.184,B,1.37,Low
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2025-10,15,59070,1631,2.763,B,2.3102,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-12,21,99477,4043,4.065,C,4.0562000000000005,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2025-10,6,8178,75,0.919,A,0.5814,Low
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2025-07,13,7553,225,2.99,B,1.8840000000000001,Low
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2023-03,16,41120,1941,4.722,C,3.6096000000000004,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2023-08,23,29463,231,0.784,A,0.5628,Low
SUP-0062,Burke-Owens Components,India,Metal Components,2025-04,22,97834,4302,4.398,C,4.3595999999999995,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2024-01,4,15004,303,2.02,B,1.3332,Low
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2025-02,8,4120,26,0.653,A,0.4022,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2025-01,25,74375,2083,2.802,B,2.5144,Low
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2024-04,18,27126,1383,5.102,D,3.6144,Low
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2024-07,7,6349,74,1.167,A,0.7298,Low
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2024-05,16,16416,485,2.956,B,1.9675999999999998,Low
SUP-0105,Hardy-Hobbs Corp,Germany,Plastic Components,2023-06,10,17770,1276,7.185,D,4.8214,Low
SUP-0056,"Cooper, Greer and Martin Corp",Poland,Connectors,2023-10,16,69488,2126,3.06,C,2.6864,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-06,18,68364,3051,4.464,C,3.8988000000000005,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2025-11,11,16082,664,4.132,C,2.7447999999999997,Low
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2025-05,25,51650,2524,4.887,C,3.9417999999999997,Low
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2025-08,10,46320,1384,2.989,B,2.347,Low
SUP-0056,"Cooper, Greer and Martin Corp",Poland,Connectors,2023-06,15,39480,1109,2.81,B,2.1296,Low
SUP-0067,Woods-Liu Group,China,Transformers,2024-06,16,70784,2753,3.889,C,3.4345999999999997,Low
SUP-0083,Burch-Harris Components,USA,Transformers,2025-06,7,15274,335,2.196,B,1.4516,Low
SUP-0051,Phelps-Martin Pvt Ltd,Mexico,Connectors,2025-10,16,41264,1485,3.6,C,2.7540000000000004,Low
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2023-09,9,4680,36,0.775,A,0.4794,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2024-09,2,6404,390,6.1,D,3.816,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-07,23,47472,1053,2.219,B,1.7526,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2025-11,13,23504,256,1.092,A,0.7576,Low
SUP-0012,Scott-Schmidt Group,Poland,Transformers,2025-08,11,50358,699,1.388,A,1.1123999999999998,Low
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2025-10,24,36072,1158,3.211,C,2.3897999999999997,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2024-05,17,50609,1715,3.39,C,2.7199999999999998,Low
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2025-05,20,7680,106,1.393,A,0.8782,Low
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2023-09,15,40845,1896,4.642,C,3.5436,Low
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2023-12,17,42449,499,1.177,A,0.9058,Low
SUP-0143,Morris Ltd Group,Mexico,Connectors,2025-06,19,62776,561,0.894,A,0.7608,Low
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2024-04,10,22250,1302,5.854,D,4.0332,Low
SUP-0012,Scott-Schmidt Group,Poland,Transformers,2023-05,17,62458,1494,2.393,B,2.0334,Low
SUP-0085,"Nguyen, Gross and Ramirez Components",India,Plastic Components,2025-05,14,20874,596,2.859,B,1.9538,Low
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2025-02,10,31520,1734,5.502,D,3.9947999999999997,Low
SUP-0145,Charles LLC Manufacturing,India,Transformers,2024-03,20,25140,476,1.897,B,1.3285999999999998,Low
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-07,20,48780,1282,2.63,B,2.0907999999999998,Low
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2025-10,15,32100,2231,6.951,D,5.063,Medium
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2023-09,16,32928,1963,5.963,D,4.3629999999999995,Low
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2023-06,16,70016,2996,4.28,C,3.7664,Low
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2023-01,3,8019,253,3.163,C,1.9989999999999997,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2023-02,9,4941,160,3.251,C,2.0145999999999997,Low
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2024-12,6,28086,505,1.8,B,1.282,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2025-06,18,84960,2729,3.213,C,3.0194,Low
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2023-06,4,9580,175,1.827,B,1.1662,Low
SUP-0143,Morris Ltd Group,Mexico,Connectors,2024-03,10,36340,215,0.593,A,0.44179999999999997,Low
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-10,3,9546,271,2.839,B,1.8118,Low
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2024-05,5,7990,307,3.844,C,2.4292,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2023-09,17,12937,124,0.963,A,0.6274,Low
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2025-05,11,54879,2481,4.521,C,3.7049999999999996,Low
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2024-06,25,102925,741,0.721,A,0.729,Low
SUP-0090,Williams Ltd GmbH,China,Connectors,2023-03,18,4896,41,0.851,A,0.5269999999999999,Low
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2025-10,15,24150,1477,6.117,D,4.261,Low
SUP-0142,Campbell and Sons Industries,USA,Transformers,2023-12,14,6174,450,7.291,D,4.5546,Low
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2025-08,19,90288,4998,5.536,D,5.3208,Medium
SUP-0098,Beck Inc Manufacturing,Poland,Switchgear Parts,2024-03,20,73800,1136,1.54,B,1.3783999999999998,Low
SUP-0088,Sanchez and Sons GmbH,Germany,Metal Components,2023-11,2,8746,104,1.197,A,0.7598,Low
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2023-11,6,21504,327,1.523,B,1.0446,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2023-08,8,5224,218,4.183,C,2.597,Low
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-11,6,5028,122,2.435,B,1.5098,Low
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2023-02,16,72416,4961,6.851,D,6.095,Medium
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2024-12,22,86790,950,1.095,A,1.037,Low
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2024-07,4,5204,252,4.85,C,3.0107999999999997,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2024-11,18,61506,1658,2.696,B,2.2808,Low
SUP-0115,Dixon-Collins Corp,USA,Connectors,2025-10,17,21488,1287,5.99,D,4.1088,Low
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2023-11,9,13482,732,5.43,D,3.5507999999999997,Low
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-02,7,19313,377,1.953,B,1.3226,Low
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2025-01,21,72702,2124,2.923,B,2.6034,Low
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2024-10,2,3160,46,1.464,A,0.8967999999999999,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2025-01,7,34104,584,1.714,B,1.262,Low
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2023-07,10,25730,189,0.737,A,0.5178,Low
SUP-0056,"Cooper, Greer and Martin Corp",Poland,Connectors,2024-10,10,44620,1755,3.934,C,3.0624,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2025-01,18,56862,4548,8.0,D,6.6192,Medium
SUP-0142,Campbell and Sons Industries,USA,Transformers,2025-10,3,8304,505,6.084,D,3.8523999999999994,Low
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2025-07,13,27638,983,3.558,C,2.5279999999999996,Low
SUP-0057,Ward-Rodriguez Industries,Germany,Plastic Components,2023-03,10,12350,95,0.777,A,0.5042,Low
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2025-01,5,2385,82,3.439,C,2.0962,Low
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2024-04,7,26180,1256,4.801,C,3.383,Low
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2023-10,17,15028,536,3.572,C,2.3575999999999997,Low
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2024-05,14,66080,4088,6.187,D,5.3474,Medium
SUP-0075,White Inc Corp,India,Connectors,2023-10,20,52060,325,0.625,A,0.505,Low
SUP-0146,"Anthony, Martin and Osborne GmbH",India,Plastic Components,2023-01,5,17905,1111,6.209,D,4.1697999999999995,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2025-05,5,3525,188,5.334,D,3.2756,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-09,15,26910,1225,4.554,C,3.2224000000000004,Low
SUP-0004,Hernandez Group Pvt Ltd,Mexico,Transformers,2025-03,14,21392,538,2.518,B,1.726,Low
SUP-0033,Knox-Smith Group,India,Connectors,2024-11,6,2418,162,6.723,D,4.098599999999999,Low
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2024-05,24,55104,827,1.502,B,1.232,Low
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2024-02,24,105744,874,0.827,A,0.8458,Low
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2024-11,20,25640,1121,4.374,C,3.0727999999999995,Low
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2024-12,15,34995,1286,3.677,C,2.7206,Low
SUP-0121,Obrien and Sons Manufacturing,India,Switchgear Parts,2025-10,18,75816,2520,3.325,C,3.003,Low
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2023-09,18,44406,1437,3.237,C,2.517,Low
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2023-03,21,17766,628,3.537,C,2.3733999999999997,Low
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2024-02,21,84882,2867,3.378,C,3.1736000000000004,Low
SUP-0053,Collins Group GmbH,Poland,Plastic Components,2025-10,9,31806,646,2.034,B,1.4788,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2024-11,25,22100,598,2.71,B,1.8652,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2023-08,2,1088,63,5.824,D,3.5195999999999996,Low
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2025-08,18,10494,432,4.12,C,2.6448,Low
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2025-04,5,15310,326,2.133,B,1.4102000000000001,Low
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2024-06,18,71568,2006,2.803,B,2.4842,Low
SUP-0057,Ward-Rodriguez Industries,Germany,Plastic Components,2024-09,8,38392,493,1.286,A,0.9688,Low
SUP-0075,White Inc Corp,India,Connectors,2023-10,9,3420,17,0.506,A,0.3104,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2024-09,10,40010,709,1.773,B,1.3474,Low
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2023-02,5,17885,780,4.363,C,2.9298,Low
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2024-10,22,49610,1173,2.366,B,1.8888,Low
SUP-0104,Bryant Inc Group,Poland,Metal Components,2023-06,11,12364,764,6.182,D,4.0148,Low
SUP-0071,"Weber, Lawson and Hicks Corp",Germany,Connectors,2025-05,24,116376,5149,4.425,C,4.7146,Low
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2024-10,6,16068,503,3.134,C,2.0816,Low
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2024-11,14,18760,661,3.524,C,2.3788,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2025-08,4,14208,630,4.437,C,2.9142,Low
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2025-01,5,13665,1037,7.594,D,4.9712,Low
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2024-04,12,18660,636,3.411,C,2.3009999999999997,Low
SUP-0098,Beck Inc Manufacturing,Poland,Switchgear Parts,2025-06,22,38170,671,1.76,B,1.3244,Low
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-02,15,11430,169,1.479,A,0.9550000000000001,Low
SUP-0090,Williams Ltd GmbH,China,Connectors,2024-10,10,37140,445,1.199,A,0.8974000000000001,Low
SUP-0069,Soto-Powell GmbH,Poland,Switchgear Parts,2023-03,2,4040,69,1.727,B,1.0638,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2025-09,17,37502,366,0.976,A,0.732,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-03,21,97692,4081,4.178,C,4.1392,Low
SUP-0034,Owen-Middleton Group,China,Plastic Components,2023-08,2,5272,45,0.862,A,0.5352,Low
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2023-06,2,1966,83,4.242,C,2.5784,Low
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-07,14,58170,789,1.356,A,1.1292,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-10,23,26289,454,1.727,B,1.2178,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2024-08,9,13536,865,6.394,D,4.1823999999999995,Low
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2023-10,13,42653,1881,4.41,C,3.3984,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2024-10,13,6942,169,2.435,B,1.5286000000000002,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2024-07,8,20064,1241,6.189,D,4.2098,Low
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2023-09,24,57240,2643,4.619,C,3.8286,Low
SUP-0073,Adams PLC Industries,India,Switchgear Parts,2023-03,13,10543,354,3.361,C,2.1582,Low
SUP-0062,Burke-Owens Components,India,Metal Components,2025-09,9,11979,457,3.817,C,2.473,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2023-09,7,18172,484,2.665,B,1.7926,Low
SUP-0050,Oconnor-Anderson Components,Poland,Plastic Components,2024-12,22,70576,2632,3.73,C,3.2908,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2023-07,8,38904,2195,5.643,D,4.2638,Low
SUP-0139,"Cooper, Schwartz and Edwards GmbH",Mexico,Switchgear Parts,2024-09,19,43035,1919,4.461,C,3.4442000000000004,Low
SUP-0138,"Patrick, Watts and Robinson Industries",USA,Switchgear Parts,2023-12,22,95876,6932,7.23,D,7.1108,Medium
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2025-07,8,14832,376,2.536,B,1.6720000000000002,Low
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2025-09,3,9687,751,7.755,D,4.953399999999999,Low
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2024-04,10,41220,1698,4.122,C,3.1524,Low
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2025-08,22,48202,375,0.778,A,0.6168,Low
SUP-0061,Cox Ltd Corp,USA,Metal Components,2024-03,9,27009,1496,5.541,D,3.923,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2023-09,9,28575,1737,6.082,D,4.343999999999999,Low
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2025-04,5,1105,58,5.252,D,3.1744,Low
SUP-0013,Sanchez-Moore Components,China,Switchgear Parts,2023-10,18,77904,2358,3.027,C,2.7594000000000003,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-11,7,6615,100,1.513,B,0.9478,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2024-07,4,3700,43,1.162,A,0.7143999999999999,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-11,13,16211,689,4.251,C,2.8262,Low
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2024-11,3,2172,134,6.174,D,3.758,Low
SUP-0139,"Cooper, Schwartz and Edwards GmbH",Mexico,Switchgear Parts,2025-11,24,114264,7315,6.403,D,6.767799999999999,Medium
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2024-07,15,64020,1345,2.102,B,1.7992,Low
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2023-11,18,5616,203,3.627,C,2.2573999999999996,Low
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2025-07,20,20120,829,4.124,C,2.8059999999999996,Low
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2023-03,21,75264,5071,6.738,D,6.071199999999999,Medium
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2024-09,18,46278,908,1.962,B,1.5404,Low
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2024-03,22,82236,3553,4.321,C,4.0138,Low
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2023-09,12,3312,199,6.035,D,3.7006,Low
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2024-07,12,59172,1228,2.077,B,1.7374,Low
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2024-09,8,36896,1258,3.411,C,2.5498,Low
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-01,5,18910,837,4.43,C,2.9928,Low
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2025-10,9,12276,322,2.631,B,1.7073999999999998,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2025-12,14,47362,3129,6.607,D,5.2158,Medium
SUP-0034,Owen-Middleton Group,China,Plastic Components,2025-05,3,14109,139,0.99,A,0.6496,Low
SUP-0053,Collins Group GmbH,Poland,Plastic Components,2024-06,9,44109,1192,2.703,B,2.0986,Low
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2023-01,21,100401,6908,6.881,D,6.8918,Medium
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2023-06,18,64764,1067,1.648,B,1.4156,Low
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2025-03,23,44367,1954,4.404,C,3.424,Low
SUP-0108,Chavez and Sons Industries,Mexico,Metal Components,2024-05,3,4896,203,4.166,C,2.5808,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2023-01,23,103017,1915,1.859,B,1.8814,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2024-11,15,21090,439,2.083,B,1.4254,Low
SUP-0062,Burke-Owens Components,India,Metal Components,2024-07,12,32184,1175,3.651,C,2.6606,Low
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2023-05,9,17541,509,2.904,B,1.946,Low
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2023-03,7,4886,120,2.475,B,1.5330000000000001,Low
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2025-11,17,69496,1858,2.674,B,2.3476,Low
SUP-0145,Charles LLC Manufacturing,India,Transformers,2024-03,16,6576,172,2.629,B,1.6461999999999999,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2023-05,22,5082,235,4.633,C,2.8737999999999997,Low
SUP-0142,Campbell and Sons Industries,USA,Transformers,2025-02,22,68618,4334,6.317,D,5.5238,Medium
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2023-11,8,25936,406,1.567,B,1.1026,Low
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2023-01,19,81358,3126,3.842,C,3.5556,Low
SUP-0109,Frye-Le GmbH,Poland,Plastic Components,2024-03,10,33270,658,1.981,B,1.4518000000000002,Low
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2025-01,20,62940,3758,5.971,D,5.0858,Medium
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2025-01,22,69872,1120,1.603,B,1.4098000000000002,Low
