EmployeeID,Department,JobRole,TrainingCourse,TrainingDate,ExpiryDate,TrainingStatus,ComplianceStatus
EMP-11013,HR,HR Generalist,5S Lean Manufacturing,2023-12-16,2024-12-15,Completed,Compliant
EMP-11014,Warehouse,Warehouse Supervisor,Calibration Awareness,2024-09-11,2026-09-11,Pending,Non-Compliant
EMP-11015,Supply Chain,Logistics Coordinator,Calibration Awareness,2023-02-01,2024-02-01,Expired,Compliant
EMP-11016,Warehouse,Warehouse Operator,5S Lean Manufacturing,2023-08-28,2024-08-27,Expired,Compliant
EMP-11017,Engineering,Process Engineer,Safety Training,2023-12-28,2024-12-27,Completed,Compliant
EMP-11018,Engineering,Design Engineer,Calibration Awareness,2024-05-26,2025-05-26,Expired,Compliant
EMP-11019,Supply Chain,Buyer,Calibration Awareness,2023-12-09,2025-12-08,Completed,Compliant
EMP-11020,Warehouse,Inventory Clerk,ISO 9001 Awareness,2023-10-08,2025-10-07,Completed,Compliant
EMP-11021,Engineering,Manufacturing Engineer,Internal Auditor Training,2024-05-18,2025-05-18,Expired,Compliant
EMP-11022,Supply Chain,Logistics Coordinator,ISO 9001 Awareness,2024-11-25,2025-11-25,Completed,Non-Compliant
EMP-11023,Engineering,Process Engineer,Calibration Awareness,2024-02-09,2025-02-08,Completed,Non-Compliant
EMP-11024,Manufacturing,Assembly Technician,Safety Training,2025-04-21,2027-04-21,Completed,Compliant
EMP-11025,HR,Training Coordinator,5S Lean Manufacturing,2024-03-15,2025-03-15,Completed,Compliant
EMP-11026,Supply Chain,Supply Chain Analyst,Calibration Awareness,2025-07-19,2027-07-19,Completed,Compliant
EMP-11027,Quality,Quality Inspector,Calibration Awareness,2024-08-24,2025-08-24,Expired,Compliant
EMP-11028,Manufacturing,Assembly Technician,5S Lean Manufacturing,2023-10-02,2024-10-01,Completed,Compliant
EMP-11029,HR,HR Manager,5S Lean Manufacturing,2023-06-26,2024-06-25,Completed,Compliant
EMP-11030,Supply Chain,Supply Chain Analyst,ISO 9001 Awareness,2023-07-26,2024-07-25,Completed,Compliant
EMP-11031,HR,HR Generalist,Calibration Awareness,2023-06-20,2025-06-19,Completed,Compliant
EMP-11032,Manufacturing,Production Supervisor,Calibration Awareness,2023-07-09,2024-07-08,Completed,Compliant
EMP-11033,HR,HR Manager,Calibration Awareness,2025-01-20,2027-01-20,Completed,Compliant
EMP-11034,Quality,Auditor,ISO 9001 Awareness,2025-03-27,2026-03-27,Completed,Compliant
EMP-11035,Quality,Auditor,5S Lean Manufacturing,2025-08-23,2026-08-23,Completed,Compliant
EMP-11036,Engineering,Process Engineer,Safety Training,2024-08-02,2025-08-02,Completed,Compliant
EMP-11037,HR,Training Coordinator,Safety Training,2023-02-18,2024-02-18,Completed,Compliant
EMP-11038,Supply Chain,Buyer,Safety Training,2024-02-02,2025-02-01,Completed,Compliant
EMP-11039,Engineering,Manufacturing Engineer,Internal Auditor Training,2023-06-07,2024-06-06,Completed,Non-Compliant
EMP-11040,Manufacturing,Assembly Technician,ISO 9001 Awareness,2025-05-12,2027-05-12,Completed,Compliant
EMP-11041,Supply Chain,Logistics Coordinator,5S Lean Manufacturing,2024-10-11,2025-10-11,Completed,Compliant
EMP-11042,Engineering,Process Engineer,Safety Training,2023-10-22,2025-10-21,Completed,Compliant
EMP-11043,Manufacturing,Production Supervisor,Calibration Awareness,2023-08-28,2024-08-27,Expired,Compliant
EMP-11044,HR,HR Manager,Calibration Awareness,2023-02-04,2024-02-04,Expired,Compliant
EMP-11045,Warehouse,Inventory Clerk,ISO 9001 Awareness,2023-08-07,2025-08-06,Expired,Compliant
EMP-11046,Engineering,Manufacturing Engineer,ISO 9001 Awareness,2023-01-11,2024-01-11,Completed,Compliant
EMP-11047,Manufacturing,Line Lead,Calibration Awareness,2025-01-08,2027-01-08,Completed,Compliant
EMP-11048,Warehouse,Inventory Clerk,Calibration Awareness,2023-01-25,2024-01-25,Expired,Compliant
EMP-11049,Engineering,Design Engineer,ISO 9001 Awareness,2025-02-13,2026-02-13,Pending,Compliant
EMP-11050,Quality,QA Manager,Calibration Awareness,2024-01-04,2025-01-03,Completed,Compliant
EMP-11051,Supply Chain,Planner,Internal Auditor Training,2025-10-31,2027-10-31,Completed,Compliant
EMP-11052,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2023-09-02,2024-09-01,Expired,Compliant
EMP-11053,Manufacturing,Production Supervisor,Safety Training,2023-03-29,2025-03-28,Expired,Compliant
EMP-11054,Engineering,Manufacturing Engineer,ISO 9001 Awareness,2023-08-11,2024-08-10,Expired,Compliant
EMP-11055,Quality,Quality Inspector,ISO 9001 Awareness,2025-01-13,2026-01-13,Completed,Compliant
EMP-11056,Engineering,Process Engineer,Calibration Awareness,2024-04-20,2025-04-20,Completed,Compliant
EMP-11057,Warehouse,Inventory Clerk,ISO 9001 Awareness,2023-06-23,2025-06-22,Expired,Compliant
EMP-11058,Quality,Quality Inspector,Safety Training,2025-01-15,2027-01-15,Completed,Compliant
EMP-11059,Maintenance,Reliability Engineer,5S Lean Manufacturing,2023-12-28,2024-12-27,Completed,Compliant
EMP-11060,HR,HR Generalist,Internal Auditor Training,2023-12-09,2025-12-08,Expired,Non-Compliant
EMP-11061,Manufacturing,Line Lead,ISO 9001 Awareness,2025-03-10,2026-03-10,Completed,Compliant
EMP-11062,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2025-05-24,2026-05-24,Pending,Compliant
EMP-11063,Warehouse,Warehouse Supervisor,Safety Training,2024-06-15,2025-06-15,Completed,Non-Compliant
EMP-11064,Maintenance,Maintenance Supervisor,5S Lean Manufacturing,2025-07-07,2026-07-07,Completed,Compliant
EMP-11065,HR,HR Generalist,Internal Auditor Training,2024-12-04,2025-12-04,Completed,Compliant
EMP-11066,Supply Chain,Supply Chain Analyst,ISO 9001 Awareness,2024-08-31,2026-08-31,Completed,Compliant
EMP-11067,Engineering,Manufacturing Engineer,Calibration Awareness,2025-07-27,2026-07-27,Completed,Compliant
EMP-11068,Supply Chain,Supply Chain Analyst,Safety Training,2023-01-15,2024-01-15,Completed,Compliant
EMP-11069,Manufacturing,Assembly Technician,Safety Training,2025-08-04,2027-08-04,Completed,Compliant
EMP-11070,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2023-01-23,2024-01-23,Expired,Compliant
EMP-11071,Quality,Auditor,Safety Training,2023-08-15,2025-08-14,Completed,Compliant
EMP-11072,Engineering,Design Engineer,Internal Auditor Training,2025-03-14,2026-03-14,Completed,Compliant
EMP-11073,Supply Chain,Logistics Coordinator,ISO 9001 Awareness,2025-08-05,2026-08-05,Completed,Compliant
EMP-11074,Supply Chain,Planner,Safety Training,2025-10-31,2026-10-31,Pending,Compliant
EMP-11075,Maintenance,Maintenance Supervisor,ISO 9001 Awareness,2025-05-03,2027-05-03,Completed,Compliant
EMP-11076,Supply Chain,Planner,5S Lean Manufacturing,2024-09-13,2026-09-13,Completed,Compliant
EMP-11077,Manufacturing,Line Lead,ISO 9001 Awareness,2025-09-15,2026-09-15,Completed,Compliant
EMP-11078,HR,Training Coordinator,5S Lean Manufacturing,2024-07-19,2025-07-19,Expired,Non-Compliant
EMP-11079,Manufacturing,Line Lead,Internal Auditor Training,2025-04-16,2027-04-16,Completed,Compliant
EMP-11080,Supply Chain,Planner,ISO 9001 Awareness,2023-01-14,2024-01-14,Expired,Compliant
EMP-11081,Engineering,Manufacturing Engineer,Calibration Awareness,2024-08-27,2026-08-27,Completed,Compliant
EMP-11082,Supply Chain,Logistics Coordinator,Internal Auditor Training,2025-04-29,2026-04-29,Completed,Compliant
EMP-11083,Maintenance,Maintenance Supervisor,Safety Training,2024-08-18,2025-08-18,Expired,Non-Compliant
EMP-11084,Manufacturing,Machine Operator,Calibration Awareness,2023-03-05,2024-03-04,Completed,Non-Compliant
EMP-11085,Maintenance,Reliability Engineer,ISO 9001 Awareness,2024-03-26,2025-03-26,Expired,Compliant
EMP-11086,Quality,Auditor,ISO 9001 Awareness,2023-08-13,2024-08-12,Completed,Compliant
EMP-11087,Maintenance,Maintenance Supervisor,Calibration Awareness,2024-06-08,2025-06-08,Completed,Compliant
EMP-11088,Manufacturing,Assembly Technician,Calibration Awareness,2023-06-14,2024-06-13,Expired,Compliant
EMP-11089,Quality,QA Manager,ISO 9001 Awareness,2025-05-20,2027-05-20,Completed,Compliant
EMP-11090,Manufacturing,Production Supervisor,Calibration Awareness,2025-10-09,2026-10-09,Completed,Compliant
EMP-11091,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2025-03-20,2026-03-20,Completed,Compliant
EMP-11092,HR,HR Generalist,Safety Training,2024-06-07,2025-06-07,Expired,Compliant
EMP-11093,Warehouse,Warehouse Operator,ISO 9001 Awareness,2023-11-10,2024-11-09,Completed,Non-Compliant
EMP-11094,HR,HR Generalist,Internal Auditor Training,2023-07-07,2024-07-06,Completed,Compliant
EMP-11095,Engineering,Design Engineer,Calibration Awareness,2024-05-13,2026-05-13,Completed,Compliant
EMP-11096,HR,HR Generalist,Calibration Awareness,2025-02-28,2026-02-28,Completed,Compliant
EMP-11097,Maintenance,Maintenance Supervisor,Internal Auditor Training,2025-06-16,2026-06-16,Completed,Compliant
EMP-11098,Supply Chain,Logistics Coordinator,Calibration Awareness,2023-03-05,2024-03-04,Expired,Non-Compliant
EMP-11099,HR,HR Manager,Safety Training,2024-06-16,2025-06-16,Expired,Compliant
EMP-11100,HR,HR Manager,Calibration Awareness,2023-09-02,2025-09-01,Expired,Compliant
EMP-11101,Engineering,Process Engineer,Safety Training,2025-10-24,2026-10-24,Completed,Compliant
EMP-11102,Quality,Quality Inspector,ISO 9001 Awareness,2024-04-18,2026-04-18,Completed,Compliant
EMP-11103,Supply Chain,Buyer,ISO 9001 Awareness,2025-05-15,2026-05-15,Completed,Compliant
EMP-11104,Engineering,Manufacturing Engineer,Calibration Awareness,2024-08-30,2025-08-30,Completed,Compliant
EMP-11105,Quality,QA Manager,Calibration Awareness,2023-12-13,2025-12-12,Completed,Non-Compliant
EMP-11106,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2025-10-25,2026-10-25,Completed,Compliant
EMP-11107,Manufacturing,Line Lead,5S Lean Manufacturing,2023-10-03,2025-10-02,Expired,Non-Compliant
EMP-11108,Supply Chain,Logistics Coordinator,ISO 9001 Awareness,2024-04-17,2025-04-17,Completed,Compliant
EMP-11109,Supply Chain,Supply Chain Analyst,Safety Training,2025-06-19,2026-06-19,Completed,Compliant
EMP-11110,Engineering,Process Engineer,Safety Training,2025-10-01,2026-10-01,Completed,Compliant
EMP-11111,Supply Chain,Logistics Coordinator,Safety Training,2024-05-03,2026-05-03,Completed,Compliant
EMP-11112,Supply Chain,Planner,5S Lean Manufacturing,2023-03-15,2025-03-14,Completed,Compliant
EMP-11113,Manufacturing,Assembly Technician,Internal Auditor Training,2025-02-05,2027-02-05,Completed,Compliant
EMP-11114,Manufacturing,Line Lead,5S Lean Manufacturing,2023-05-31,2024-05-30,Expired,Compliant
EMP-11115,Maintenance,Maintenance Technician,Safety Training,2025-06-29,2027-06-29,Completed,Compliant
EMP-11116,HR,HR Generalist,ISO 9001 Awareness,2025-03-26,2026-03-26,Completed,Compliant
EMP-11117,Engineering,Manufacturing Engineer,ISO 9001 Awareness,2024-03-16,2025-03-16,Expired,Compliant
EMP-11118,Warehouse,Warehouse Operator,5S Lean Manufacturing,2024-10-23,2026-10-23,Completed,Compliant
EMP-11119,Maintenance,Maintenance Technician,5S Lean Manufacturing,2025-04-23,2026-04-23,Completed,Compliant
EMP-11120,Warehouse,Forklift Operator,Safety Training,2023-01-23,2024-01-23,Completed,Compliant
EMP-11121,Supply Chain,Planner,Calibration Awareness,2023-04-24,2024-04-23,Expired,Compliant
EMP-11122,HR,Training Coordinator,Calibration Awareness,2025-10-02,2026-10-02,Completed,Compliant
EMP-11123,Warehouse,Warehouse Supervisor,Calibration Awareness,2023-09-22,2024-09-21,Expired,Compliant
EMP-11124,Supply Chain,Planner,ISO 9001 Awareness,2024-06-16,2026-06-16,Completed,Compliant
EMP-11125,Manufacturing,Line Lead,5S Lean Manufacturing,2023-03-13,2024-03-12,Expired,Non-Compliant
EMP-11126,Warehouse,Warehouse Operator,Internal Auditor Training,2025-10-31,2026-10-31,Completed,Compliant
EMP-11127,Manufacturing,Assembly Technician,Internal Auditor Training,2023-07-01,2024-06-30,Completed,Non-Compliant
EMP-11128,Engineering,Process Engineer,Calibration Awareness,2025-02-15,2026-02-15,Completed,Compliant
EMP-11129,Manufacturing,Production Supervisor,Safety Training,2025-05-17,2026-05-17,Pending,Compliant
EMP-11130,Quality,Quality Engineer,Internal Auditor Training,2024-10-11,2025-10-11,Completed,Compliant
EMP-11131,Engineering,Design Engineer,Calibration Awareness,2024-09-04,2026-09-04,Pending,Compliant
EMP-11132,Warehouse,Forklift Operator,5S Lean Manufacturing,2024-08-09,2026-08-09,Completed,Compliant
EMP-11133,HR,HR Generalist,Internal Auditor Training,2025-01-29,2027-01-29,Completed,Compliant
EMP-11134,Engineering,Manufacturing Engineer,Calibration Awareness,2023-07-19,2024-07-18,Completed,Non-Compliant
EMP-11135,HR,HR Manager,Internal Auditor Training,2023-10-30,2024-10-29,Completed,Compliant
EMP-11136,Supply Chain,Logistics Coordinator,Internal Auditor Training,2024-11-04,2026-11-04,Completed,Compliant
EMP-11137,Maintenance,Maintenance Supervisor,Calibration Awareness,2023-04-07,2024-04-06,Completed,Compliant
EMP-11138,Quality,QA Manager,Safety Training,2024-06-25,2025-06-25,Completed,Compliant
EMP-11139,Manufacturing,Production Supervisor,Internal Auditor Training,2024-07-23,2026-07-23,Completed,Compliant
EMP-11140,Quality,QA Manager,Safety Training,2025-06-12,2026-06-12,Expired,Compliant
EMP-11141,Quality,QA Manager,5S Lean Manufacturing,2023-05-27,2024-05-26,Expired,Compliant
EMP-11142,Engineering,Manufacturing Engineer,Calibration Awareness,2023-04-11,2025-04-10,Completed,Compliant
EMP-11143,Warehouse,Inventory Clerk,Calibration Awareness,2024-09-18,2025-09-18,Expired,Compliant
EMP-11144,Warehouse,Warehouse Operator,Safety Training,2025-08-25,2027-08-25,Completed,Compliant
EMP-11145,Quality,QA Manager,Safety Training,2023-04-07,2025-04-06,Expired,Compliant
EMP-11146,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2024-01-07,2025-01-06,Expired,Compliant
EMP-11147,HR,HR Generalist,Calibration Awareness,2023-01-25,2025-01-24,Expired,Compliant
EMP-11148,Manufacturing,Line Lead,Internal Auditor Training,2025-06-05,2026-06-05,Completed,Compliant
EMP-11149,HR,HR Manager,5S Lean Manufacturing,2023-10-11,2024-10-10,Completed,Compliant
EMP-11150,HR,Training Coordinator,Internal Auditor Training,2025-03-20,2026-03-20,Completed,Compliant
EMP-11151,Maintenance,Maintenance Supervisor,Safety Training,2025-09-14,2026-09-14,Completed,Compliant
EMP-11152,Engineering,Design Engineer,Internal Auditor Training,2024-07-07,2025-07-07,Completed,Compliant
EMP-11153,Manufacturing,Assembly Technician,ISO 9001 Awareness,2024-09-13,2026-09-13,Completed,Compliant
EMP-11154,Manufacturing,Production Supervisor,Internal Auditor Training,2023-10-17,2025-10-16,Expired,Compliant
EMP-11155,Warehouse,Warehouse Supervisor,Calibration Awareness,2024-02-07,2026-02-06,Completed,Compliant
EMP-11156,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2025-06-03,2027-06-03,Completed,Compliant
EMP-11157,Engineering,Process Engineer,5S Lean Manufacturing,2023-01-19,2025-01-18,Expired,Compliant
EMP-11158,Quality,QA Manager,ISO 9001 Awareness,2023-09-11,2024-09-10,Completed,Compliant
EMP-11159,Warehouse,Forklift Operator,Internal Auditor Training,2023-07-11,2024-07-10,Completed,Non-Compliant
EMP-11160,HR,HR Generalist,5S Lean Manufacturing,2024-05-20,2025-05-20,Completed,Non-Compliant
EMP-11161,Manufacturing,Assembly Technician,Calibration Awareness,2024-11-07,2026-11-07,Completed,Compliant
EMP-11162,Supply Chain,Supply Chain Analyst,Internal Auditor Training,2023-04-15,2024-04-14,Completed,Compliant
EMP-11163,Supply Chain,Buyer,5S Lean Manufacturing,2024-06-18,2025-06-18,Completed,Compliant
EMP-11164,Warehouse,Warehouse Supervisor,Calibration Awareness,2024-04-09,2026-04-09,Completed,Compliant
EMP-11165,Quality,QA Manager,ISO 9001 Awareness,2023-06-07,2024-06-06,Expired,Compliant
EMP-11166,Maintenance,Reliability Engineer,Calibration Awareness,2025-01-21,2026-01-21,Completed,Compliant
EMP-11167,Supply Chain,Buyer,Internal Auditor Training,2024-03-21,2025-03-21,Expired,Compliant
EMP-11168,Manufacturing,Assembly Technician,Internal Auditor Training,2024-05-28,2026-05-28,Pending,Non-Compliant
EMP-11169,Warehouse,Warehouse Supervisor,Calibration Awareness,2024-11-13,2025-11-13,Completed,Compliant
EMP-11170,Manufacturing,Assembly Technician,Calibration Awareness,2023-08-24,2024-08-23,Completed,Compliant
EMP-11171,Supply Chain,Supply Chain Analyst,ISO 9001 Awareness,2023-12-20,2024-12-19,Completed,Compliant
EMP-11172,Maintenance,Maintenance Technician,Calibration Awareness,2023-09-17,2024-09-16,Completed,Non-Compliant
EMP-11173,Quality,Auditor,Internal Auditor Training,2023-09-04,2024-09-03,Expired,Compliant
EMP-11174,Manufacturing,Assembly Technician,ISO 9001 Awareness,2023-11-21,2024-11-20,Completed,Compliant
EMP-11175,HR,HR Generalist,5S Lean Manufacturing,2025-03-18,2026-03-18,Completed,Compliant
EMP-11176,Engineering,Design Engineer,Internal Auditor Training,2023-07-30,2024-07-29,Completed,Compliant
EMP-11177,Maintenance,Maintenance Technician,Internal Auditor Training,2023-03-10,2024-03-09,Completed,Compliant
EMP-11178,HR,HR Generalist,5S Lean Manufacturing,2024-01-29,2026-01-28,Completed,Compliant
EMP-11179,Engineering,Process Engineer,Safety Training,2023-10-04,2024-10-03,Completed,Compliant
EMP-11180,Quality,Auditor,Safety Training,2024-09-28,2025-09-28,Completed,Compliant
EMP-11181,Supply Chain,Logistics Coordinator,Internal Auditor Training,2024-11-04,2026-11-04,Completed,Compliant
EMP-11182,Warehouse,Warehouse Supervisor,Safety Training,2023-03-28,2024-03-27,Completed,Non-Compliant
EMP-11183,Quality,Auditor,Calibration Awareness,2024-12-03,2025-12-03,Expired,Compliant
EMP-11184,Quality,Quality Engineer,Calibration Awareness,2024-06-30,2025-06-30,Completed,Compliant
EMP-11185,Maintenance,Maintenance Technician,ISO 9001 Awareness,2025-10-18,2026-10-18,Completed,Compliant
EMP-11186,HR,HR Generalist,ISO 9001 Awareness,2023-04-02,2024-04-01,Expired,Compliant
EMP-11187,Manufacturing,Line Lead,Internal Auditor Training,2024-01-28,2025-01-27,Expired,Compliant
EMP-11188,Maintenance,Reliability Engineer,Internal Auditor Training,2024-05-31,2025-05-31,Expired,Non-Compliant
EMP-11189,Engineering,Manufacturing Engineer,Internal Auditor Training,2024-01-15,2025-01-14,Completed,Compliant
EMP-11190,Engineering,Process Engineer,Safety Training,2025-01-23,2026-01-23,Pending,Compliant
EMP-11191,Maintenance,Reliability Engineer,Safety Training,2025-08-11,2027-08-11,Completed,Compliant
EMP-11192,HR,HR Manager,Safety Training,2025-04-01,2026-04-01,Completed,Compliant
EMP-11193,Quality,Quality Engineer,Internal Auditor Training,2023-10-04,2024-10-03,Expired,Compliant
EMP-11194,Supply Chain,Buyer,Calibration Awareness,2024-02-08,2026-02-07,Completed,Compliant
EMP-11195,Manufacturing,Production Supervisor,5S Lean Manufacturing,2024-03-20,2025-03-20,Expired,Compliant
EMP-11196,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2023-04-27,2025-04-26,Completed,Non-Compliant
EMP-11197,Warehouse,Warehouse Operator,5S Lean Manufacturing,2025-04-30,2027-04-30,Completed,Compliant
EMP-11198,Manufacturing,Machine Operator,ISO 9001 Awareness,2024-01-31,2025-01-30,Expired,Compliant
EMP-11199,Warehouse,Forklift Operator,ISO 9001 Awareness,2025-08-15,2027-08-15,Completed,Compliant
EMP-11200,Manufacturing,Assembly Technician,ISO 9001 Awareness,2023-01-11,2025-01-10,Completed,Compliant
EMP-11201,Maintenance,Reliability Engineer,5S Lean Manufacturing,2025-07-22,2026-07-22,Completed,Compliant
EMP-11202,Warehouse,Warehouse Supervisor,Calibration Awareness,2025-08-26,2026-08-26,Completed,Compliant
EMP-11203,Maintenance,Maintenance Supervisor,ISO 9001 Awareness,2025-07-04,2027-07-04,Completed,Compliant
EMP-11204,Warehouse,Warehouse Supervisor,5S Lean Manufacturing,2025-10-12,2027-10-12,Completed,Compliant
EMP-11205,Quality,Auditor,ISO 9001 Awareness,2025-09-09,2026-09-09,Completed,Compliant
EMP-11206,HR,HR Manager,Calibration Awareness,2023-04-06,2024-04-05,Expired,Non-Compliant
EMP-11207,Quality,Auditor,ISO 9001 Awareness,2025-10-26,2027-10-26,Completed,Compliant
EMP-11208,Maintenance,Reliability Engineer,ISO 9001 Awareness,2024-08-20,2025-08-20,Expired,Compliant
EMP-11209,Manufacturing,Production Supervisor,Internal Auditor Training,2023-05-29,2024-05-28,Completed,Compliant
EMP-11210,Supply Chain,Buyer,ISO 9001 Awareness,2023-08-19,2024-08-18,Expired,Compliant
EMP-11211,Quality,Quality Inspector,Internal Auditor Training,2023-02-12,2024-02-12,Completed,Compliant
EMP-11212,Supply Chain,Logistics Coordinator,Internal Auditor Training,2023-11-13,2024-11-12,Expired,Compliant
EMP-11213,Manufacturing,Production Supervisor,Calibration Awareness,2025-02-24,2026-02-24,Completed,Compliant
EMP-11214,Engineering,Design Engineer,Internal Auditor Training,2023-07-31,2024-07-30,Expired,Compliant
EMP-11215,HR,Training Coordinator,Internal Auditor Training,2025-04-30,2026-04-30,Completed,Compliant
EMP-11216,Quality,Quality Engineer,ISO 9001 Awareness,2024-10-03,2025-10-03,Expired,Non-Compliant
EMP-11217,Maintenance,Reliability Engineer,ISO 9001 Awareness,2023-06-09,2024-06-08,Completed,Compliant
EMP-11218,Supply Chain,Supply Chain Analyst,Safety Training,2025-10-11,2027-10-11,Completed,Compliant
EMP-11219,Warehouse,Warehouse Operator,Calibration Awareness,2025-05-19,2027-05-19,Completed,Compliant
EMP-11220,HR,Training Coordinator,5S Lean Manufacturing,2024-04-06,2026-04-06,Completed,Compliant
EMP-11221,Engineering,Manufacturing Engineer,Calibration Awareness,2023-12-07,2024-12-06,Completed,Compliant
EMP-11222,Engineering,Design Engineer,Internal Auditor Training,2025-09-05,2027-09-05,Completed,Compliant
EMP-11223,Manufacturing,Line Lead,Safety Training,2024-12-07,2025-12-07,Expired,Compliant
EMP-11224,Quality,Auditor,Internal Auditor Training,2023-04-18,2024-04-17,Completed,Non-Compliant
EMP-11225,Maintenance,Maintenance Supervisor,Internal Auditor Training,2025-03-03,2026-03-03,Completed,Compliant
EMP-11226,Warehouse,Inventory Clerk,ISO 9001 Awareness,2023-04-29,2025-04-28,Expired,Compliant
EMP-11227,Quality,Auditor,Internal Auditor Training,2024-07-30,2026-07-30,Pending,Compliant
EMP-11228,Manufacturing,Machine Operator,ISO 9001 Awareness,2025-07-17,2026-07-17,Completed,Compliant
EMP-11229,Supply Chain,Planner,Safety Training,2024-01-05,2025-01-04,Expired,Compliant
EMP-11230,Warehouse,Warehouse Supervisor,ISO 9001 Awareness,2025-01-28,2026-01-28,Completed,Compliant
EMP-11231,Engineering,Design Engineer,Internal Auditor Training,2023-04-12,2025-04-11,Completed,Compliant
EMP-11232,Warehouse,Inventory Clerk,Internal Auditor Training,2025-04-18,2027-04-18,Completed,Compliant
EMP-11233,Maintenance,Maintenance Supervisor,ISO 9001 Awareness,2024-07-30,2025-07-30,Expired,Compliant
EMP-11234,Warehouse,Inventory Clerk,Safety Training,2024-11-13,2025-11-13,Expired,Non-Compliant
EMP-11235,Manufacturing,Production Supervisor,5S Lean Manufacturing,2024-10-19,2026-10-19,Completed,Compliant
EMP-11236,Manufacturing,Machine Operator,Safety Training,2024-02-07,2025-02-06,Expired,Compliant
EMP-11237,Quality,Quality Inspector,ISO 9001 Awareness,2025-06-09,2026-06-09,Completed,Compliant
EMP-11238,HR,Training Coordinator,ISO 9001 Awareness,2023-04-27,2024-04-26,Expired,Compliant
EMP-11239,HR,Training Coordinator,Internal Auditor Training,2024-11-14,2025-11-14,Completed,Compliant
EMP-11240,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2025-07-19,2026-07-19,Completed,Compliant
EMP-11241,Quality,Auditor,5S Lean Manufacturing,2025-03-21,2027-03-21,Completed,Compliant
EMP-11242,Manufacturing,Assembly Technician,Calibration Awareness,2025-02-02,2026-02-02,Pending,Non-Compliant
EMP-11243,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2023-03-26,2024-03-25,Expired,Compliant
EMP-11244,Manufacturing,Machine Operator,Internal Auditor Training,2023-06-14,2025-06-13,Expired,Compliant
EMP-11245,Engineering,Process Engineer,Safety Training,2023-10-22,2024-10-21,Expired,Compliant
EMP-11246,Maintenance,Reliability Engineer,ISO 9001 Awareness,2025-04-13,2026-04-13,Completed,Compliant
EMP-11247,Quality,Quality Engineer,Internal Auditor Training,2023-06-02,2024-06-01,Expired,Compliant
EMP-11248,Maintenance,Maintenance Technician,Internal Auditor Training,2025-10-18,2027-10-18,Completed,Compliant
EMP-11249,Quality,Quality Engineer,5S Lean Manufacturing,2023-10-14,2024-10-13,Completed,Compliant
EMP-11250,Maintenance,Reliability Engineer,ISO 9001 Awareness,2023-12-16,2024-12-15,Expired,Compliant
EMP-11251,Supply Chain,Planner,Safety Training,2025-09-27,2026-09-27,Completed,Compliant
EMP-11252,Manufacturing,Machine Operator,Safety Training,2023-04-28,2024-04-27,Expired,Compliant
EMP-11253,Manufacturing,Production Supervisor,Safety Training,2024-05-21,2026-05-21,Completed,Compliant
EMP-11254,Quality,Quality Inspector,Safety Training,2024-01-21,2025-01-20,Expired,Compliant
EMP-11255,Warehouse,Inventory Clerk,Calibration Awareness,2025-10-05,2026-10-05,Completed,Compliant
EMP-11256,Quality,Auditor,Calibration Awareness,2024-01-20,2026-01-19,Completed,Compliant
EMP-11257,HR,HR Generalist,Calibration Awareness,2025-03-30,2026-03-30,Completed,Compliant
EMP-11258,Engineering,Design Engineer,Internal Auditor Training,2025-09-12,2026-09-12,Completed,Compliant
EMP-11259,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2023-01-05,2024-01-05,Completed,Compliant
EMP-11260,Warehouse,Warehouse Operator,5S Lean Manufacturing,2024-01-07,2025-01-06,Completed,Compliant
EMP-11261,Supply Chain,Supply Chain Analyst,Internal Auditor Training,2024-10-24,2026-10-24,Completed,Compliant
EMP-11262,Quality,Quality Inspector,Calibration Awareness,2023-07-14,2024-07-13,Expired,Non-Compliant
EMP-11263,Quality,Quality Inspector,ISO 9001 Awareness,2024-01-08,2025-01-07,Completed,Compliant
EMP-11264,Warehouse,Warehouse Supervisor,Calibration Awareness,2024-08-01,2025-08-01,Completed,Compliant
EMP-11265,Engineering,Manufacturing Engineer,Internal Auditor Training,2025-04-22,2027-04-22,Pending,Compliant
EMP-11266,Manufacturing,Line Lead,5S Lean Manufacturing,2023-04-28,2024-04-27,Expired,Compliant
EMP-11267,Supply Chain,Supply Chain Analyst,ISO 9001 Awareness,2023-04-25,2024-04-24,Expired,Compliant
EMP-11268,Warehouse,Warehouse Supervisor,5S Lean Manufacturing,2023-05-26,2024-05-25,Expired,Compliant
EMP-11269,Warehouse,Warehouse Operator,5S Lean Manufacturing,2025-01-01,2026-01-01,Completed,Compliant
EMP-11270,Manufacturing,Line Lead,Internal Auditor Training,2024-05-06,2026-05-06,Completed,Compliant
EMP-11271,Supply Chain,Buyer,5S Lean Manufacturing,2024-01-07,2025-01-06,Expired,Compliant
